class,uniprot_id,description,len,dataset
positive,A0A0U5NX53,A0A0U5NX53_9CLOT Thermostable beta-glucosidase B OS=Clostridium sp. C105KSO13 OX=1776045 GN=bglB_3 PE=3 SV=1,418,train
positive,A0A6N3E972,A0A6N3E972_KLEOX Thermostable beta-glucosidase B OS=Klebsiella oxytoca OX=571 GN=bglB_2 PE=3 SV=1,782,train
negative,A0A4S9UFY5,A0A4S9UFY5_AURPU beta-glucosidase OS=Aureobasidium pullulans OX=5580 GN=D6C90_06722 PE=3 SV=1,669,train
positive,A0A0F0LC11,A0A0F0LC11_9MICO Thermostable beta-glucosidase B OS=Microbacterium azadirachtae OX=582680 GN=bglB_3 PE=3 SV=1,791,train
positive,A0A1Y5P0J3,A0A1Y5P0J3_9MICO Thermostable beta-glucosidase B OS=uncultured Microbacterium sp OX=191216 GN=bglB PE=3 SV=1,747,train
positive,A0A7X9NR40,A0A7X9NR40_9BIFI beta-glucosidase OS=Bifidobacterium thermophilum OX=33905 GN=HF844_04510 PE=4 SV=1,773,train
positive,A0A1D3DY45,A0A1D3DY45_9ACTN Beta-glucosidase OS=Streptomyces thermolilacinus SPC6 OX=1306406 GN=J116_025060 PE=3 SV=1,451,train
negative,A0A6G2BHD6,A0A6G2BHD6_9ACTN Beta-glucosidase OS=Streptomyces taklimakanensis OX=2569853 GN=F0L17_21800 PE=3 SV=1,479,train
positive,A0A3P8JX02,A0A3P8JX02_RAOTE Thermostable beta-glucosidase B OS=Raoultella terrigena OX=577 GN=bglB_1 PE=3 SV=1,523,train
positive,A0A7J5ULD3,A0A7J5ULD3_9MICO Beta-glucosidase OS=Georgenia thermotolerans OX=527326 GN=GB883_16000 PE=3 SV=1,467,train
negative,A0A074W1F0,A0A074W1F0_9PEZI beta-glucosidase OS=Aureobasidium melanogenum CBS 110374 OX=1043003 GN=M437DRAFT_38898 PE=3 SV=1,763,train
positive,A0A1M4SU08,A0A1M4SU08_9THEO beta-glucosidase OS=Thermoanaerobacter uzonensis DSM 18761 OX=1123369 GN=SAMN02745195_00263 PE=3 SV=1,447,train
negative,A0A359GYR1,A0A359GYR1_9BACT beta-glucosidase (Fragment) OS=Rikenellaceae bacterium OX=2049048 GN=DEG92_00060 PE=3 SV=1,396,train
positive,Q09IZ3,Q09IZ3_9PEZI beta-glucosidase (Fragment) OS=Thermochaetoides thermophila OX=209285 GN=bgl PE=2 SV=1,589,train
negative,A0A7Y5VGW6,A0A7Y5VGW6_9BACT beta-glucosidase OS=Acidobacteriaceae bacterium OX=2052142 GN=bglX PE=3 SV=1,750,train
negative,A0A0G3V326,A0A0G3V326_9ACTN Beta-glucosidase-like glycosyl hydrolase OS=Actinobacteria bacterium IMCC26256 OX=1650658 GN=IMCC26256_111541 PE=3 SV=1,738,train
negative,A0A4R7D5E0,A0A4R7D5E0_9SPHI beta-glucosidase OS=Sphingobacterium paludis OX=1476465 GN=B0I21_10293 PE=3 SV=1,790,train
negative,A0A7Z9C9E9,A0A7Z9C9E9_9ACTO beta-glucosidase OS=Actinobaculum suis OX=1657 GN=bglB_1 PE=3 SV=1,710,train
positive,A0A840P1X6,A0A840P1X6_9ACTN beta-glucosidase OS=Thermocatellispora tengchongensis OX=1073253 GN=HNP84_003088 PE=4 SV=1,615,train
negative,A0A2W4JIS5,A0A2W4JIS5_UNCAC Beta-glucosidase OS=Actinomycetes bacterium OX=1883427 GN=DIU73_02885 PE=3 SV=1,482,train
negative,A0A2T7QC57,A0A2T7QC57_9BACT beta-glucosidase OS=Terrimonas sp OX=1914338 GN=DC498_08290 PE=4 SV=1,787,train
positive,A0A842ZUA0,A0A842ZUA0_UNCTM beta-glucosidase (Fragment) OS=Thermoplasmata archaeon OX=1906666 GN=IMZ43_08725 PE=3 SV=1,614,train
negative,I1E031,I1E031_9GAMM Beta-glucosidase OS=Rheinheimera nanhaiensis E407-8 OX=562729 GN=abg PE=3 SV=1,444,train
negative,A0A0F7FXF9,A0A0F7FXF9_9ACTN Beta-glucosidase OS=Streptomyces xiamenensis OX=408015 GN=SXIM_39530 PE=3 SV=1,476,train
positive,A0A2K1PA97,A0A2K1PA97_9BACT beta-glucosidase OS=Petrotoga miotherma DSM 10691 OX=1434326 GN=X928_06595 PE=3 SV=1,777,train
positive,A0A0A7RBQ4,A0A0A7RBQ4_9EURY Beta-galactosidase OS=Thermococcus pacificus OX=71998 GN=A3L08_06935 PE=3 SV=1,487,train
negative,A0A1I5RHB4,A0A1I5RHB4_9SPHN beta-glucosidase OS=Sphingomonas rubra OX=634430 GN=SAMN04488241_103228 PE=4 SV=1,756,train
negative,A0A095T9C6,A0A095T9C6_9GAMM beta-glucosidase OS=Tatumella morbirosei OX=642227 GN=HA49_09530 PE=3 SV=1,764,train
negative,A0A6P1F7A4,A0A6P1F7A4_9MICO beta-glucosidase OS=Rathayibacter sp. VKM Ac-2759 OX=2609252 GN=GSU68_02020 PE=4 SV=1,776,train
negative,A0A4Q0P4Z6,A0A4Q0P4Z6_9FLAO beta-glucosidase OS=Leeuwenhoekiella aequorea OX=283736 GN=DSM00_2613 PE=4 SV=1,760,train
positive,A0A422LFW5,A0A422LFW5_LACPA Thermostable beta-glucosidase B OS=Lacticaseibacillus paracasei OX=1597 GN=FAM10859_00514 PE=3 SV=1,795,train
positive,A0A660RIY5,A0A660RIY5_9THEM Beta-glucosidase OS=Thermotoga sp OX=28240 GN=DRP50_03230 PE=3 SV=1,446,train
positive,A0A848VMC9,A0A848VMC9_9BACT beta-glucosidase OS=Rhodothermales bacterium OX=2306054 GN=HKN29_08505 PE=4 SV=1,695,train
negative,A0A2X4W5U3,A0A2X4W5U3_LEDLE Beta-glucosidase OS=Lederbergia lenta OX=1467 GN=bglH PE=3 SV=1,475,train
positive,A0A543IVH3,A0A543IVH3_9ACTN Beta-glucosidase OS=Thermopolyspora flexuosa OX=103836 GN=FHX40_1229 PE=3 SV=1,434,train
negative,A0A445H1D4,A0A445H1D4_GLYSO beta-glucosidase OS=Glycine soja OX=3848 GN=D0Y65_037681 PE=4 SV=1,645,train
positive,W2U3C5,W2U3C5_9DEIN Beta-glucosidase OS=Thermus sp. NMX2.A1 OX=570924 GN=TNMX_06280 PE=3 SV=1,431,train
positive,D2C6W2,D2C6W2_THEP2 Beta-glucosidase OS=Thermotoga petrophila (strain ATCC BAA-489 / DSM 13996 / JCM 10882 / RKU-10) OX=590168 GN=Tnap_0602 PE=3 SV=1,446,train
negative,E9NSP8,E9NSP8_9ZZZZ beta-glucosidase OS=uncultured organism OX=155900 GN=SARM_0072 PE=3 SV=1,747,train
negative,A0A090SBY8,A0A090SBY8_9VIBR Beta-glucosidase OS=Vibrio maritimus OX=990268 GN=JCM19235_5611 PE=3 SV=1,474,train
positive,A0A833HHN9,A0A833HHN9_9BACT Beta-glucosidase OS=Thermoanaerobaculia bacterium OX=2651171 GN=F9K18_08580 PE=3 SV=1,444,train
positive,A5IKZ4,A5IKZ4_THEP1 beta-glucosidase OS=Thermotoga petrophila (strain ATCC BAA-488 / DSM 13995 / JCM 10881 / RKU-1) OX=390874 GN=Tpet_0848 PE=3 SV=1,778,train
positive,A0A3R5T3C0,A0A3R5T3C0_9ACTN Beta-glucosidase OS=Thermomonospora amylolytica OX=1411117 GN=bgl1 PE=3 SV=1,444,train
positive,A0A291I5P4,A0A291I5P4_GEOTD Beta-glucosidase OS=Geobacillus thermodenitrificans OX=33940 GN=bglA PE=3 SV=1,447,train
negative,A0A6L2JW54,A0A6L2JW54_TANCI beta-glucosidase OS=Tanacetum cinerariifolium OX=118510 GN=Tci_012083 PE=4 SV=1,625,train
negative,A0A200ITJ7,A0A200ITJ7_9ENTE beta-glucosidase OS=Enterococcus sp. 9D6_DIV0238 OX=1834192 GN=A5889_002417 PE=3 SV=1,738,train
positive,A0A1V6BAK3,A0A1V6BAK3_9BACT Thermostable beta-glucosidase B OS=Tenericutes bacterium ADurb.Bin140 OX=1852919 GN=bglB PE=3 SV=1,782,train
positive,A0A3G1A7P3,A0A3G1A7P3_9CREN Beta-galactosidase / Beta-glucosidase / Beta-fucosidase OS=Thermofilum adornatum 1505 OX=697581 GN=TCARB_1150 PE=3 SV=1,518,train
positive,J7L3Z8,J7L3Z8_NOCAA Thermostable beta-glucosidase B OS=Nocardiopsis alba (strain ATCC BAA-2165 / BE74) OX=1205910 GN=bglB PE=3 SV=1,653,train
positive,A0A1C5MTG5,A0A1C5MTG5_9FIRM Thermostable beta-glucosidase B OS=uncultured Blautia sp OX=765821 GN=bglB_1 PE=3 SV=1,784,train
positive,A0A6J4ULC3,A0A6J4ULC3_9BACT Beta-glucosidase OS=uncultured Thermomicrobiales bacterium OX=1645740 GN=AVDCRST_MAG59-1722 PE=3 SV=1,449,train
negative,A0A5A7SM16,A0A5A7SM16_CUCME beta-glucosidase OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold848G00430 PE=3 SV=1,431,train
negative,A0A7W5MII8,A0A7W5MII8_9SPHN beta-glucosidase OS=Sphingomonas sp. BK345 OX=2586980 GN=FHY03_000033 PE=3 SV=1,764,train
negative,A0A3S1D8Z4,A0A3S1D8Z4_9PSED beta-glucosidase OS=Pseudomonas sp. PAMC 29040 OX=2498450 GN=bglX PE=4 SV=1,763,train
positive,A0A3S5CG51,A0A3S5CG51_9FIRM Thermostable beta-glucosidase B OS=uncultured Blautia sp OX=765821 GN=bglB_2 PE=3 SV=1,756,train
positive,A0A174J750,A0A174J750_9FIRM Thermostable beta-glucosidase B OS=Blautia wexlerae OX=418240 GN=bglB_1 PE=3 SV=1,761,train
negative,A0A2G4DSW4,A0A2G4DSW4_9PSED beta-glucosidase (Fragment) OS=Pseudomonas sp. NZIPFR-PS5 OX=1230465 GN=AO263_32165 PE=3 SV=1,560,train
positive,A0A5P9K0U0,A0A5P9K0U0_9HYPH beta-glucosidase OS=Microvirga thermotolerans OX=2651334 GN=GDR74_15680 PE=3 SV=1,731,train
negative,A0A1L7UAL1,A0A1L7UAL1_FUSMA beta-glucosidase OS=Fusarium mangiferae OX=192010 GN=FMAN_14367 PE=3 SV=1,767,train
positive,A0A399DYR9,A0A399DYR9_9DEIN Beta-glucosidase OS=Meiothermus taiwanensis OX=172827 GN=gghA PE=3 SV=1,447,train
negative,A0A356SCD0,A0A356SCD0_9GAMM beta-glucosidase OS=Halieaceae bacterium OX=2026743 GN=DD655_01660 PE=4 SV=1,643,train
positive,A0A385LST8,A0A385LST8_RHOMR beta-glucosidase (Fragment) OS=Rhodothermus marinus OX=29549 PE=3 SV=1,615,train
negative,A0A2N9DWQ7,A0A2N9DWQ7_9LACO beta-glucosidase OS=Latilactobacillus fuchuensis OX=164393 GN=LFUMFP_310156 PE=4 SV=1,375,train
positive,B5YAN1,B5YAN1_DICT6 Beta-glucosidase OS=Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12) OX=309799 GN=DICTH_1689 PE=3 SV=1,445,train
negative,A0A4R4Y411,A0A4R4Y411_9PSEU beta-glucosidase OS=Saccharopolyspora elongata OX=2530387 GN=E1288_39130 PE=3 SV=1,611,train
positive,A0A1C6KCH7,A0A1C6KCH7_9FIRM Thermostable beta-glucosidase B OS=uncultured Blautia sp OX=765821 GN=bglB_5 PE=3 SV=1,374,train
positive,R4G036,R4G036_9BACI Beta-glucosidase OS=Anoxybacillus flavithermus NBRC 109594 OX=1315967 GN=KN10_0750 PE=3 SV=1,448,train
positive,A0A399EVQ2,A0A399EVQ2_9DEIN Beta-glucosidase OS=Meiothermus luteus OX=2026184 GN=bglA_1 PE=3 SV=1,444,train
positive,H9ZUT0,H9ZUT0_THETH Beta-glucosidase OS=Thermus thermophilus JL-18 OX=798128 GN=TtJL18_2257 PE=3 SV=1,436,train
positive,A0A840PGI7,A0A840PGI7_9ACTN Beta-glucosidase OS=Thermocatellispora tengchongensis OX=1073253 GN=HNP84_007679 PE=3 SV=1,464,train
positive,A0A1Y6AUI1,A0A1Y6AUI1_9BACI Thermostable beta-glucosidase B OS=Bacillus mobilis OX=2026190 GN=bglB PE=3 SV=1,763,train
positive,B7IEC2,B7IEC2_THEAB Beta-glucosidase OS=Thermosipho africanus (strain TCF52B) OX=484019 GN=THA_1926 PE=3 SV=1,441,train
negative,A0A1B8D0J4,A0A1B8D0J4_9PEZI beta-glucosidase OS=Pseudogymnoascus sp. 24MN13 OX=1622150 GN=VE04_05758 PE=3 SV=1,747,train
negative,A0A077WWX7,A0A077WWX7_9FUNG beta-glucosidase OS=Lichtheimia ramosa OX=688394 GN=LRAMOSA03590 PE=3 SV=1,719,train
positive,Q60026,Q60026_THEBR beta-glucosidase OS=Thermoanaerobacter brockii OX=29323 GN=cglT PE=3 SV=1,450,train
positive,A0A1C6KBN7,A0A1C6KBN7_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB_7 PE=3 SV=1,337,train
negative,A0A2K0U5Q5,A0A2K0U5Q5_TRIHA Probable beta-glucosidase btgE OS=Trichoderma harzianum OX=5544 GN=THARTR1_06338 PE=4 SV=1,565,train
negative,A0A4S9X4W8,A0A4S9X4W8_AURPU beta-glucosidase OS=Aureobasidium pullulans OX=5580 GN=D6C85_04427 PE=3 SV=1,716,train
negative,A0A524ENM1,A0A524ENM1_9ARCH beta-glucosidase OS=Candidatus Lokiarchaeota archaeon OX=2053489 GN=EU535_03025 PE=3 SV=1,689,train
positive,A0A1C5Z8L6,A0A1C5Z8L6_9FIRM Thermostable beta-glucosidase B OS=uncultured Ruminococcus sp OX=165186 GN=bglB_1 PE=3 SV=1,694,train
negative,A0A4V2TNU8,A0A4V2TNU8_9GAMM beta-glucosidase OS=Rahnella sp. JUb53 OX=2485128 GN=EC840_101670 PE=4 SV=1,653,train
negative,A0A4R3VFW3,A0A4R3VFW3_ROSSA Beta-glucosidase OS=Roseateles saccharophilus OX=304 GN=EV671_100162 PE=3 SV=1,454,train
positive,P14002,BGLB_ACET2 Thermostable beta-glucosidase B OS=Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) OX=203119 GN=bglB PE=1 SV=2,755,train
positive,A0A7R7TFV2,A0A7R7TFV2_THETH Beta-glucosidase OS=Thermus thermophilus OX=274 GN=TthHB5018_b23320 PE=3 SV=1,436,train
positive,W0Z818,W0Z818_9MICO Thermostable beta-glucosidase B OS=Microbacterium sp. C448 OX=1177594 GN=bglB PE=3 SV=1,742,train
positive,A0A2U3DBV1,A0A2U3DBV1_SULT2 Beta-glucosidase OS=Sulfoacidibacillus thermotolerans OX=1765684 GN=BM613_01305 PE=3 SV=1,444,train
negative,A0A835AUF4,A0A835AUF4_9POAL beta-glucosidase OS=Digitaria exilis OX=1010633 GN=HU200_049785 PE=3 SV=1,614,train
negative,A0A271IYF8,A0A271IYF8_9BACT Beta-glucosidase OS=Rubrivirga marina OX=1196024 GN=BSZ37_05855 PE=3 SV=1,490,train
positive,A0A174PEH9,A0A174PEH9_BACT4 Thermostable beta-glucosidase B OS=Bacteroides thetaiotaomicron OX=818 GN=bglB_2 PE=3 SV=1,764,train
positive,G2Q1G7,G2Q1G7_THET4 Probable beta-glucosidase btgE OS=Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) OX=573729 GN=MYCTH_2296382 PE=4 SV=1,555,train
negative,A0A1M5YB76,A0A1M5YB76_9CLOT beta-glucosidase (Fragment) OS=Clostridium grantii DSM 8605 OX=1121316 GN=SAMN02745207_04318 PE=4 SV=1,402,train
negative,E9D3U0,E9D3U0_COCPS Alpha-glucosidase OS=Coccidioides posadasii (strain RMSCC 757 / Silveira) OX=443226 GN=CPSG_04279 PE=3 SV=1,633,train
negative,A0A845JF99,A0A845JF99_9PSEU Beta-glucosidase OS=Amycolatopsis rubida OX=112413 GN=GTY63_28800 PE=3 SV=1,440,train
negative,A0A5N7Y4L9,A0A5N7Y4L9_PSESP beta-glucosidase OS=Pseudomonas sp OX=306 GN=bglX PE=4 SV=1,768,train
positive,A0A7C5VVC5,A0A7C5VVC5_THERO Beta-glucosidase OS=Thermomicrobium roseum OX=500 GN=ENM21_05925 PE=3 SV=1,453,train
positive,A0A840PCH3,A0A840PCH3_9ACTN Beta-glucosidase OS=Thermocatellispora tengchongensis OX=1073253 GN=HNP84_006694 PE=3 SV=1,777,train
positive,A0A1D3DUY2,A0A1D3DUY2_9ACTN Beta-glucosidase OS=Streptomyces thermolilacinus SPC6 OX=1306406 GN=J116_018390 PE=3 SV=1,482,train
positive,A0A7M4DNN8,A0A7M4DNN8_9MICO Thermostable beta-glucosidase B OS=Occultella aeris OX=2761496 GN=bglB_3 PE=3 SV=1,775,train
negative,A0A7W8WYY4,A0A7W8WYY4_9MICC Beta-glucosidase OS=Neomicrococcus aestuarii OX=556325 GN=HD598_000432 PE=3 SV=1,753,train
negative,C3RDN5,C3RDN5_9BACT beta-glucosidase OS=Phocaeicola dorei 5_1_36/D4 OX=556260 GN=BSEG_03285 PE=3 SV=1,769,train
negative,A0A3D5IZX7,A0A3D5IZX7_9FLAO beta-glucosidase (Fragment) OS=Zunongwangia profunda OX=398743 GN=DGQ38_09455 PE=3 SV=1,493,train
negative,A0A5A7P2C1,A0A5A7P2C1_STRAF beta-glucosidase OS=Striga asiatica OX=4170 GN=STAS_02649 PE=4 SV=1,649,train
